;Pais;Fecha;Casos_media_7_dias;Muertes_media_7_dias;Porcentaje_vacunacion;Poblacion
9248;Hungary;2021-04-16;5197.571428571428;256.57142857142856;13.759235105243196;9634162.0
9249;Hungary;2021-04-17;4704.857142857143;252.57142857142858;14.385246999168169;9634162.0
9250;Hungary;2021-04-18;4334.857142857143;252.42857142857142;14.442159058566794;9634162.0
9251;Hungary;2021-04-19;3992.4285714285716;239.0;14.53891890130143;9634162.0
9252;Hungary;2021-04-20;3822.1428571428573;228.57142857142858;14.792402286779069;9634162.0
9253;Hungary;2021-04-21;3669.285714285714;217.42857142857142;15.084861558275644;9634162.0
9254;Hungary;2021-04-22;3426.4285714285716;211.42857142857142;15.470759158918026;9634162.0
9255;Hungary;2021-04-23;3170.8571428571427;206.57142857142858;16.11645102085682;9634162.0
9256;Hungary;2021-04-24;2912.5714285714284;205.85714285714286;16.11645102085682;9634162.0
9257;Hungary;2021-04-25;2715.714285714286;205.85714285714286;17.282945833794365;9634162.0
9258;Hungary;2021-04-26;2609.4285714285716;202.85714285714286;17.767222515045937;9634162.0
9259;Hungary;2021-04-27;2553.4285714285716;200.57142857142858;18.412602985085783;9634162.0
9260;Hungary;2021-04-28;2434.1428571428573;197.85714285714286;18.91866671953409;9634162.0
9261;Hungary;2021-04-29;2288.0;193.85714285714286;19.523202952161277;9634162.0
9262;Hungary;2021-04-30;2136.285714285714;190.28571428571428;20.22727041542378;9634162.0
9263;Hungary;2021-05-01;2015.5714285714287;183.0;20.92916851512358;9634162.0
9264;Hungary;2021-05-02;1910.5714285714287;168.14285714285714;21.560359894301133;9634162.0
9265;Hungary;2021-05-03;1808.142857142857;158.14285714285714;22.395689422702254;9634162.0
9266;Hungary;2021-05-04;1732.857142857143;151.57142857142858;23.341677252261274;9634162.0
9267;Hungary;2021-05-05;1652.5714285714287;143.0;24.033517393624894;9634162.0
9268;Hungary;2021-05-06;1523.4285714285713;134.14285714285714;24.980730031319798;9634162.0
9269;Hungary;2021-05-07;1405.7142857142858;123.28571428571429;25.457356851587093;9634162.0
9270;Hungary;2021-05-08;1323.5714285714287;114.71428571428571;25.825992961297516;9634162.0
9271;Hungary;2021-05-09;1259.5714285714287;114.28571428571429;25.986432447368024;9634162.0
9272;Hungary;2021-05-10;1182.142857142857;112.14285714285714;26.262242632000582;9634162.0
